Rate_ID,Carrier,POL_Origin,POD_Destination,Container_Type,Ocean_Freight_USD,THC_USD,Seal_Fee_USD,Doc_Fee_USD,Total_Cost_USD,Valid_From,Valid_To,Transit_Time_Days
RTE-00400,Maersk,VNHPH (Hai Phong),USLAX (Los Angeles),40HC,3787,210,10,40,4047,2026-07-28,2026-08-12,22
RTE-00401,MSC,VNSGN (Cat Lai),USLAX (Los Angeles),40HC,2751,210,10,40,3011,2026-07-23,2026-08-07,30
RTE-00402,CMA CGM,VNSGN (Cat Lai),USLGB (Long Beach),20DC,2449,140,10,40,2639,2026-07-23,2026-08-07,15
RTE-00403,COSCO,VNDNG (Da Nang),CNSHA (Shanghai),40HC,666,210,10,40,926,2026-07-06,2026-07-21,29
RTE-00404,Hapag-Lloyd,VNHPH (Hai Phong),USLAX (Los Angeles),20DC,2296,140,10,40,2486,2026-07-26,2026-08-10,35
RTE-00405,Evergreen,VNSGN (Cat Lai),USLAX (Los Angeles),20DC,2761,140,10,40,2951,2026-07-12,2026-07-27,33
RTE-00406,Maersk,VNDNG (Da Nang),NLRTM (Rotterdam),40HC,2680,210,10,40,2940,2026-07-12,2026-07-27,23
RTE-00407,Hapag-Lloyd,VNSGN (Cat Lai),USLAX (Los Angeles),40HC,3382,210,10,40,3642,2026-07-12,2026-07-27,19
RTE-00408,Maersk,VNDNG (Da Nang),NLRTM (Rotterdam),40HC,3038,210,10,40,3298,2026-07-05,2026-07-20,31
RTE-00409,Maersk,VNDNG (Da Nang),DEHAM (Hamburg),20DC,1563,140,10,40,1753,2026-07-08,2026-07-23,14
RTE-00410,ONE,VNSGN (Cat Lai),DEHAM (Hamburg),40HC,2785,210,10,40,3045,2026-07-30,2026-08-14,33
RTE-00411,COSCO,VNSGN (Cat Lai),DEHAM (Hamburg),20DC,1546,140,10,40,1736,2026-07-23,2026-08-07,22
RTE-00412,MSC,VNHPH (Hai Phong),CNSHA (Shanghai),20DC,277,140,10,40,467,2026-07-16,2026-07-31,19
RTE-00413,CMA CGM,VNSGN (Cat Lai),USLGB (Long Beach),20DC,1976,140,10,40,2166,2026-07-04,2026-07-19,16
RTE-00414,Hapag-Lloyd,VNDNG (Da Nang),USLGB (Long Beach),40HC,2854,210,10,40,3114,2026-07-04,2026-07-19,13
RTE-00415,Evergreen,VNDNG (Da Nang),DEHAM (Hamburg),20DC,1904,140,10,40,2094,2026-07-30,2026-08-14,31
RTE-00416,Hapag-Lloyd,VNSGN (Cat Lai),USLAX (Los Angeles),40HC,2556,210,10,40,2816,2026-07-10,2026-07-25,23
RTE-00417,MSC,VNDNG (Da Nang),USLAX (Los Angeles),40HC,3657,210,10,40,3917,2026-07-04,2026-07-19,29
RTE-00418,ONE,VNSGN (Cat Lai),NLRTM (Rotterdam),40HC,2676,210,10,40,2936,2026-07-06,2026-07-21,30
RTE-00419,Hapag-Lloyd,VNDNG (Da Nang),NLRTM (Rotterdam),40HC,2721,210,10,40,2981,2026-07-26,2026-08-10,12
RTE-00420,CMA CGM,VNHPH (Hai Phong),USLGB (Long Beach),40HC,2578,210,10,40,2838,2026-07-14,2026-07-29,13
RTE-00421,Hapag-Lloyd,VNHPH (Hai Phong),NLRTM (Rotterdam),40HC,2845,210,10,40,3105,2026-07-03,2026-07-18,35
RTE-00422,COSCO,VNDNG (Da Nang),NLRTM (Rotterdam),40HC,3193,210,10,40,3453,2026-07-15,2026-07-30,15
RTE-00423,Maersk,VNHPH (Hai Phong),NLRTM (Rotterdam),20DC,1503,140,10,40,1693,2026-07-05,2026-07-20,16
RTE-00424,COSCO,VNSGN (Cat Lai),DEHAM (Hamburg),20DC,1978,140,10,40,2168,2026-07-04,2026-07-19,35
RTE-00425,Maersk,VNSGN (Cat Lai),USLGB (Long Beach),40HC,3375,210,10,40,3635,2026-07-02,2026-07-17,21
RTE-00426,Evergreen,VNHPH (Hai Phong),USLAX (Los Angeles),20DC,1851,140,10,40,2041,2026-07-12,2026-07-27,35
RTE-00427,CMA CGM,VNHPH (Hai Phong),DEHAM (Hamburg),40HC,2746,210,10,40,3006,2026-07-11,2026-07-26,17
RTE-00428,Maersk,VNSGN (Cat Lai),USLAX (Los Angeles),40HC,3384,210,10,40,3644,2026-07-31,2026-08-15,29
RTE-00429,MSC,VNHPH (Hai Phong),USLAX (Los Angeles),40HC,3119,210,10,40,3379,2026-07-07,2026-07-22,15
RTE-00430,Hapag-Lloyd,VNHPH (Hai Phong),DEHAM (Hamburg),20DC,1849,140,10,40,2039,2026-07-01,2026-07-16,26
RTE-00431,CMA CGM,VNDNG (Da Nang),USLGB (Long Beach),40HC,2828,210,10,40,3088,2026-07-02,2026-07-17,35
RTE-00432,CMA CGM,VNHPH (Hai Phong),USLAX (Los Angeles),20DC,2390,140,10,40,2580,2026-07-16,2026-07-31,25
RTE-00433,Hapag-Lloyd,VNDNG (Da Nang),USLAX (Los Angeles),40HC,3349,210,10,40,3609,2026-07-23,2026-08-07,33
RTE-00434,CMA CGM,VNSGN (Cat Lai),USLAX (Los Angeles),40HC,2746,210,10,40,3006,2026-07-24,2026-08-08,16
RTE-00435,Hapag-Lloyd,VNHPH (Hai Phong),CNSHA (Shanghai),40HC,680,210,10,40,940,2026-07-25,2026-08-09,16
RTE-00436,Hapag-Lloyd,VNDNG (Da Nang),USLAX (Los Angeles),40HC,2664,210,10,40,2924,2026-07-23,2026-08-07,33
RTE-00437,COSCO,VNHPH (Hai Phong),USLGB (Long Beach),40HC,3037,210,10,40,3297,2026-07-24,2026-08-08,34
RTE-00438,MSC,VNSGN (Cat Lai),USLAX (Los Angeles),20DC,2633,140,10,40,2823,2026-07-14,2026-07-29,28
RTE-00439,Evergreen,VNSGN (Cat Lai),NLRTM (Rotterdam),20DC,2153,140,10,40,2343,2026-07-01,2026-07-16,16
RTE-00440,Evergreen,VNDNG (Da Nang),CNSHA (Shanghai),40HC,641,210,10,40,901,2026-07-15,2026-07-30,23
RTE-00441,CMA CGM,VNSGN (Cat Lai),NLRTM (Rotterdam),20DC,2021,140,10,40,2211,2026-07-08,2026-07-23,22
RTE-00442,Evergreen,VNDNG (Da Nang),NLRTM (Rotterdam),20DC,2107,140,10,40,2297,2026-07-08,2026-07-23,22
RTE-00443,Hapag-Lloyd,VNHPH (Hai Phong),USLGB (Long Beach),20DC,2471,140,10,40,2661,2026-07-08,2026-07-23,28
RTE-00444,ONE,VNDNG (Da Nang),NLRTM (Rotterdam),40HC,2442,210,10,40,2702,2026-07-02,2026-07-17,19
RTE-00445,COSCO,VNHPH (Hai Phong),NLRTM (Rotterdam),40HC,2571,210,10,40,2831,2026-07-15,2026-07-30,13
RTE-00446,MSC,VNDNG (Da Nang),NLRTM (Rotterdam),20DC,1761,140,10,40,1951,2026-07-01,2026-07-16,35
RTE-00447,Evergreen,VNHPH (Hai Phong),DEHAM (Hamburg),40HC,3119,210,10,40,3379,2026-07-29,2026-08-13,12
RTE-00448,Maersk,VNHPH (Hai Phong),NLRTM (Rotterdam),20DC,1538,140,10,40,1728,2026-07-01,2026-07-16,19
RTE-00449,MSC,VNDNG (Da Nang),NLRTM (Rotterdam),20DC,1495,140,10,40,1685,2026-07-12,2026-07-27,12
RTE-00450,ONE,VNHPH (Hai Phong),CNSHA (Shanghai),40HC,433,210,10,40,693,2026-07-22,2026-08-06,12
RTE-00451,Hapag-Lloyd,VNSGN (Cat Lai),CNSHA (Shanghai),40HC,688,210,10,40,948,2026-07-17,2026-08-01,27
RTE-00452,CMA CGM,VNSGN (Cat Lai),USLAX (Los Angeles),20DC,2509,140,10,40,2699,2026-07-26,2026-08-10,16
RTE-00453,Hapag-Lloyd,VNDNG (Da Nang),DEHAM (Hamburg),40HC,2086,210,10,40,2346,2026-07-30,2026-08-14,34
RTE-00454,MSC,VNDNG (Da Nang),USLAX (Los Angeles),20DC,2762,140,10,40,2952,2026-07-03,2026-07-18,20
RTE-00455,COSCO,VNSGN (Cat Lai),NLRTM (Rotterdam),40HC,2752,210,10,40,3012,2026-07-05,2026-07-20,28
RTE-00456,Evergreen,VNHPH (Hai Phong),DEHAM (Hamburg),40HC,2773,210,10,40,3033,2026-07-26,2026-08-10,19
RTE-00457,Evergreen,VNSGN (Cat Lai),NLRTM (Rotterdam),40HC,2450,210,10,40,2710,2026-07-10,2026-07-25,25
RTE-00458,Evergreen,VNDNG (Da Nang),DEHAM (Hamburg),40HC,2636,210,10,40,2896,2026-07-21,2026-08-05,19
RTE-00459,MSC,VNDNG (Da Nang),USLAX (Los Angeles),20DC,2597,140,10,40,2787,2026-07-26,2026-08-10,20
RTE-00460,CMA CGM,VNSGN (Cat Lai),NLRTM (Rotterdam),20DC,2115,140,10,40,2305,2026-07-20,2026-08-04,25
RTE-00461,CMA CGM,VNHPH (Hai Phong),USLAX (Los Angeles),20DC,2431,140,10,40,2621,2026-07-24,2026-08-08,12
RTE-00462,COSCO,VNHPH (Hai Phong),USLGB (Long Beach),40HC,3841,210,10,40,4101,2026-07-31,2026-08-15,34
RTE-00463,Evergreen,VNSGN (Cat Lai),DEHAM (Hamburg),20DC,1429,140,10,40,1619,2026-07-18,2026-08-02,14
RTE-00464,ONE,VNDNG (Da Nang),NLRTM (Rotterdam),40HC,2344,210,10,40,2604,2026-07-07,2026-07-22,17
RTE-00465,CMA CGM,VNHPH (Hai Phong),NLRTM (Rotterdam),20DC,1415,140,10,40,1605,2026-07-30,2026-08-14,25
RTE-00466,Evergreen,VNSGN (Cat Lai),NLRTM (Rotterdam),40HC,2694,210,10,40,2954,2026-07-14,2026-07-29,20
RTE-00467,ONE,VNSGN (Cat Lai),NLRTM (Rotterdam),40HC,2698,210,10,40,2958,2026-07-17,2026-08-01,21
RTE-00468,COSCO,VNHPH (Hai Phong),USLAX (Los Angeles),40HC,2707,210,10,40,2967,2026-07-23,2026-08-07,27
RTE-00469,Hapag-Lloyd,VNDNG (Da Nang),NLRTM (Rotterdam),40HC,3198,210,10,40,3458,2026-07-23,2026-08-07,31
RTE-00470,MSC,VNHPH (Hai Phong),USLAX (Los Angeles),20DC,2135,140,10,40,2325,2026-07-18,2026-08-02,16
RTE-00471,MSC,VNDNG (Da Nang),CNSHA (Shanghai),20DC,339,140,10,40,529,2026-07-12,2026-07-27,28
RTE-00472,MSC,VNHPH (Hai Phong),DEHAM (Hamburg),20DC,2128,140,10,40,2318,2026-07-28,2026-08-12,34
RTE-00473,ONE,VNHPH (Hai Phong),USLGB (Long Beach),20DC,1953,140,10,40,2143,2026-07-07,2026-07-22,26
RTE-00474,Hapag-Lloyd,VNHPH (Hai Phong),DEHAM (Hamburg),20DC,2111,140,10,40,2301,2026-07-29,2026-08-13,34
RTE-00475,MSC,VNSGN (Cat Lai),NLRTM (Rotterdam),40HC,2329,210,10,40,2589,2026-07-24,2026-08-08,23
RTE-00476,COSCO,VNDNG (Da Nang),USLAX (Los Angeles),40HC,2772,210,10,40,3032,2026-07-23,2026-08-07,22
RTE-00477,CMA CGM,VNSGN (Cat Lai),CNSHA (Shanghai),40HC,681,210,10,40,941,2026-07-12,2026-07-27,15
RTE-00478,COSCO,VNSGN (Cat Lai),USLAX (Los Angeles),40HC,3148,210,10,40,3408,2026-07-04,2026-07-19,30
RTE-00479,Evergreen,VNDNG (Da Nang),NLRTM (Rotterdam),20DC,1896,140,10,40,2086,2026-07-29,2026-08-13,17
RTE-00480,ONE,VNHPH (Hai Phong),DEHAM (Hamburg),20DC,1818,140,10,40,2008,2026-07-30,2026-08-14,31
RTE-00481,Maersk,VNHPH (Hai Phong),CNSHA (Shanghai),20DC,363,140,10,40,553,2026-07-02,2026-07-17,14
RTE-00482,CMA CGM,VNDNG (Da Nang),USLGB (Long Beach),20DC,2514,140,10,40,2704,2026-07-26,2026-08-10,29
RTE-00483,Evergreen,VNDNG (Da Nang),USLAX (Los Angeles),40HC,2645,210,10,40,2905,2026-07-31,2026-08-15,33
RTE-00484,ONE,VNDNG (Da Nang),CNSHA (Shanghai),40HC,437,210,10,40,697,2026-07-11,2026-07-26,24
RTE-00485,Maersk,VNHPH (Hai Phong),CNSHA (Shanghai),20DC,448,140,10,40,638,2026-07-30,2026-08-14,31
RTE-00486,ONE,VNHPH (Hai Phong),NLRTM (Rotterdam),20DC,1753,140,10,40,1943,2026-07-08,2026-07-23,26
RTE-00487,ONE,VNDNG (Da Nang),DEHAM (Hamburg),20DC,2051,140,10,40,2241,2026-07-17,2026-08-01,31
RTE-00488,Maersk,VNHPH (Hai Phong),CNSHA (Shanghai),40HC,534,210,10,40,794,2026-07-11,2026-07-26,19
RTE-00489,CMA CGM,VNSGN (Cat Lai),USLGB (Long Beach),40HC,3894,210,10,40,4154,2026-07-06,2026-07-21,29
RTE-00490,CMA CGM,VNDNG (Da Nang),NLRTM (Rotterdam),40HC,2378,210,10,40,2638,2026-07-02,2026-07-17,18
RTE-00491,CMA CGM,VNHPH (Hai Phong),CNSHA (Shanghai),20DC,363,140,10,40,553,2026-07-07,2026-07-22,17
RTE-00492,Hapag-Lloyd,VNSGN (Cat Lai),CNSHA (Shanghai),20DC,220,140,10,40,410,2026-07-03,2026-07-18,22
RTE-00493,Maersk,VNDNG (Da Nang),NLRTM (Rotterdam),40HC,2674,210,10,40,2934,2026-07-10,2026-07-25,35
RTE-00494,Maersk,VNHPH (Hai Phong),USLAX (Los Angeles),40HC,3078,210,10,40,3338,2026-07-20,2026-08-04,33
RTE-00495,ONE,VNSGN (Cat Lai),CNSHA (Shanghai),40HC,429,210,10,40,689,2026-07-01,2026-07-16,20
RTE-00496,MSC,VNSGN (Cat Lai),USLAX (Los Angeles),20DC,2379,140,10,40,2569,2026-07-13,2026-07-28,21
RTE-00497,CMA CGM,VNSGN (Cat Lai),CNSHA (Shanghai),20DC,317,140,10,40,507,2026-07-06,2026-07-21,34
RTE-00498,COSCO,VNDNG (Da Nang),USLGB (Long Beach),40HC,3134,210,10,40,3394,2026-07-08,2026-07-23,34
RTE-00499,Maersk,VNDNG (Da Nang),DEHAM (Hamburg),20DC,1403,140,10,40,1593,2026-07-02,2026-07-17,32
RTE-00500,Evergreen,VNDNG (Da Nang),USLGB (Long Beach),20DC,2425,140,10,40,2615,2026-07-30,2026-08-14,35
RTE-00501,Hapag-Lloyd,VNHPH (Hai Phong),CNSHA (Shanghai),20DC,306,140,10,40,496,2026-07-02,2026-07-17,32
RTE-00502,COSCO,VNDNG (Da Nang),USLGB (Long Beach),20DC,1974,140,10,40,2164,2026-07-03,2026-07-18,25
RTE-00503,Hapag-Lloyd,VNHPH (Hai Phong),DEHAM (Hamburg),20DC,1938,140,10,40,2128,2026-07-18,2026-08-02,33
RTE-00504,Maersk,VNHPH (Hai Phong),CNSHA (Shanghai),20DC,338,140,10,40,528,2026-07-14,2026-07-29,29
RTE-00505,Maersk,VNSGN (Cat Lai),DEHAM (Hamburg),20DC,1597,140,10,40,1787,2026-07-16,2026-07-31,16
RTE-00506,COSCO,VNDNG (Da Nang),DEHAM (Hamburg),20DC,1733,140,10,40,1923,2026-07-28,2026-08-12,18
RTE-00507,Evergreen,VNSGN (Cat Lai),NLRTM (Rotterdam),20DC,1820,140,10,40,2010,2026-07-20,2026-08-04,32
RTE-00508,Hapag-Lloyd,VNHPH (Hai Phong),USLAX (Los Angeles),20DC,2776,140,10,40,2966,2026-07-04,2026-07-19,23
RTE-00509,CMA CGM,VNDNG (Da Nang),NLRTM (Rotterdam),20DC,1687,140,10,40,1877,2026-07-03,2026-07-18,34
RTE-00510,Maersk,VNDNG (Da Nang),NLRTM (Rotterdam),20DC,1716,140,10,40,1906,2026-07-10,2026-07-25,19
RTE-00511,Hapag-Lloyd,VNHPH (Hai Phong),DEHAM (Hamburg),40HC,2004,210,10,40,2264,2026-07-22,2026-08-06,25
RTE-00512,Evergreen,VNDNG (Da Nang),USLAX (Los Angeles),20DC,2704,140,10,40,2894,2026-07-06,2026-07-21,21
RTE-00513,COSCO,VNDNG (Da Nang),CNSHA (Shanghai),40HC,485,210,10,40,745,2026-07-14,2026-07-29,30
RTE-00514,Maersk,VNHPH (Hai Phong),DEHAM (Hamburg),20DC,2124,140,10,40,2314,2026-07-05,2026-07-20,34
RTE-00515,Evergreen,VNSGN (Cat Lai),USLGB (Long Beach),20DC,2619,140,10,40,2809,2026-07-25,2026-08-09,31
RTE-00516,CMA CGM,VNSGN (Cat Lai),USLAX (Los Angeles),40HC,3578,210,10,40,3838,2026-07-05,2026-07-20,35
RTE-00517,Hapag-Lloyd,VNHPH (Hai Phong),USLAX (Los Angeles),40HC,3059,210,10,40,3319,2026-07-25,2026-08-09,25
RTE-00518,COSCO,VNSGN (Cat Lai),USLAX (Los Angeles),20DC,2455,140,10,40,2645,2026-07-18,2026-08-02,25
RTE-00519,ONE,VNSGN (Cat Lai),USLAX (Los Angeles),40HC,2843,210,10,40,3103,2026-07-20,2026-08-04,27
RTE-00520,COSCO,VNSGN (Cat Lai),USLGB (Long Beach),20DC,2289,140,10,40,2479,2026-07-01,2026-07-16,13
RTE-00521,Maersk,VNDNG (Da Nang),DEHAM (Hamburg),20DC,1864,140,10,40,2054,2026-07-27,2026-08-11,14
RTE-00522,Maersk,VNSGN (Cat Lai),NLRTM (Rotterdam),20DC,2127,140,10,40,2317,2026-07-17,2026-08-01,23
RTE-00523,MSC,VNHPH (Hai Phong),USLGB (Long Beach),40HC,2742,210,10,40,3002,2026-07-15,2026-07-30,31
RTE-00524,ONE,VNDNG (Da Nang),CNSHA (Shanghai),40HC,527,210,10,40,787,2026-07-04,2026-07-19,19
RTE-00525,Maersk,VNHPH (Hai Phong),USLGB (Long Beach),20DC,2459,140,10,40,2649,2026-07-15,2026-07-30,16
RTE-00526,COSCO,VNHPH (Hai Phong),USLAX (Los Angeles),20DC,2560,140,10,40,2750,2026-07-12,2026-07-27,34
RTE-00527,Hapag-Lloyd,VNSGN (Cat Lai),DEHAM (Hamburg),20DC,2075,140,10,40,2265,2026-07-17,2026-08-01,23
RTE-00528,Evergreen,VNDNG (Da Nang),USLGB (Long Beach),40HC,3655,210,10,40,3915,2026-07-17,2026-08-01,12
RTE-00529,Evergreen,VNHPH (Hai Phong),USLAX (Los Angeles),40HC,3196,210,10,40,3456,2026-07-18,2026-08-02,35
RTE-00530,CMA CGM,VNSGN (Cat Lai),DEHAM (Hamburg),20DC,1883,140,10,40,2073,2026-07-03,2026-07-18,19
RTE-00531,CMA CGM,VNDNG (Da Nang),DEHAM (Hamburg),40HC,2745,210,10,40,3005,2026-07-10,2026-07-25,30
RTE-00532,MSC,VNHPH (Hai Phong),DEHAM (Hamburg),40HC,3104,210,10,40,3364,2026-07-04,2026-07-19,27
RTE-00533,ONE,VNHPH (Hai Phong),NLRTM (Rotterdam),40HC,2231,210,10,40,2491,2026-07-28,2026-08-12,28
RTE-00534,COSCO,VNHPH (Hai Phong),NLRTM (Rotterdam),20DC,1975,140,10,40,2165,2026-07-18,2026-08-02,33
RTE-00535,MSC,VNHPH (Hai Phong),DEHAM (Hamburg),40HC,3186,210,10,40,3446,2026-07-23,2026-08-07,28
RTE-00536,MSC,VNSGN (Cat Lai),DEHAM (Hamburg),40HC,2904,210,10,40,3164,2026-07-21,2026-08-05,35
RTE-00537,CMA CGM,VNDNG (Da Nang),USLAX (Los Angeles),20DC,2002,140,10,40,2192,2026-07-12,2026-07-27,31
RTE-00538,ONE,VNDNG (Da Nang),CNSHA (Shanghai),40HC,620,210,10,40,880,2026-07-10,2026-07-25,28
RTE-00539,COSCO,VNDNG (Da Nang),USLGB (Long Beach),20DC,2461,140,10,40,2651,2026-07-15,2026-07-30,18
RTE-00540,MSC,VNSGN (Cat Lai),NLRTM (Rotterdam),20DC,1821,140,10,40,2011,2026-07-28,2026-08-12,29
RTE-00541,COSCO,VNHPH (Hai Phong),CNSHA (Shanghai),20DC,466,140,10,40,656,2026-07-31,2026-08-15,25
RTE-00542,Evergreen,VNDNG (Da Nang),USLAX (Los Angeles),20DC,2061,140,10,40,2251,2026-07-07,2026-07-22,31
RTE-00543,CMA CGM,VNSGN (Cat Lai),USLGB (Long Beach),20DC,2334,140,10,40,2524,2026-07-14,2026-07-29,16
RTE-00544,MSC,VNHPH (Hai Phong),USLGB (Long Beach),40HC,3244,210,10,40,3504,2026-07-25,2026-08-09,33
RTE-00545,COSCO,VNSGN (Cat Lai),USLAX (Los Angeles),20DC,2705,140,10,40,2895,2026-07-01,2026-07-16,35
RTE-00546,MSC,VNHPH (Hai Phong),NLRTM (Rotterdam),40HC,2642,210,10,40,2902,2026-07-13,2026-07-28,24
RTE-00547,COSCO,VNSGN (Cat Lai),NLRTM (Rotterdam),40HC,3181,210,10,40,3441,2026-07-26,2026-08-10,33
RTE-00548,Evergreen,VNSGN (Cat Lai),CNSHA (Shanghai),40HC,662,210,10,40,922,2026-07-14,2026-07-29,32
RTE-00549,ONE,VNSGN (Cat Lai),NLRTM (Rotterdam),40HC,2251,210,10,40,2511,2026-07-11,2026-07-26,18
RTE-00550,MSC,VNHPH (Hai Phong),CNSHA (Shanghai),20DC,445,140,10,40,635,2026-07-17,2026-08-01,27
RTE-00551,CMA CGM,VNSGN (Cat Lai),DEHAM (Hamburg),20DC,1688,140,10,40,1878,2026-07-10,2026-07-25,27
RTE-00552,Hapag-Lloyd,VNHPH (Hai Phong),DEHAM (Hamburg),20DC,2154,140,10,40,2344,2026-07-26,2026-08-10,20
RTE-00553,COSCO,VNSGN (Cat Lai),USLAX (Los Angeles),20DC,2204,140,10,40,2394,2026-07-05,2026-07-20,33
RTE-00554,Evergreen,VNSGN (Cat Lai),DEHAM (Hamburg),20DC,1445,140,10,40,1635,2026-07-06,2026-07-21,34
RTE-00555,ONE,VNHPH (Hai Phong),USLAX (Los Angeles),40HC,2757,210,10,40,3017,2026-07-26,2026-08-10,14
RTE-00556,Maersk,VNHPH (Hai Phong),DEHAM (Hamburg),20DC,1906,140,10,40,2096,2026-07-25,2026-08-09,28
RTE-00557,MSC,VNSGN (Cat Lai),CNSHA (Shanghai),40HC,511,210,10,40,771,2026-07-24,2026-08-08,28
RTE-00558,ONE,VNDNG (Da Nang),DEHAM (Hamburg),40HC,3095,210,10,40,3355,2026-07-29,2026-08-13,22
RTE-00559,COSCO,VNSGN (Cat Lai),CNSHA (Shanghai),40HC,671,210,10,40,931,2026-07-09,2026-07-24,34
RTE-00560,ONE,VNSGN (Cat Lai),USLGB (Long Beach),40HC,2924,210,10,40,3184,2026-07-03,2026-07-18,30
RTE-00561,ONE,VNDNG (Da Nang),USLGB (Long Beach),20DC,2765,140,10,40,2955,2026-07-11,2026-07-26,28
RTE-00562,CMA CGM,VNDNG (Da Nang),USLAX (Los Angeles),20DC,2216,140,10,40,2406,2026-07-27,2026-08-11,30
RTE-00563,ONE,VNDNG (Da Nang),USLAX (Los Angeles),20DC,1824,140,10,40,2014,2026-07-04,2026-07-19,21
RTE-00564,Evergreen,VNHPH (Hai Phong),DEHAM (Hamburg),40HC,2002,210,10,40,2262,2026-07-05,2026-07-20,22
RTE-00565,Maersk,VNHPH (Hai Phong),USLGB (Long Beach),20DC,2193,140,10,40,2383,2026-07-04,2026-07-19,32
RTE-00566,Hapag-Lloyd,VNSGN (Cat Lai),NLRTM (Rotterdam),40HC,2546,210,10,40,2806,2026-07-29,2026-08-13,25
RTE-00567,Hapag-Lloyd,VNSGN (Cat Lai),DEHAM (Hamburg),40HC,2657,210,10,40,2917,2026-07-25,2026-08-09,19
RTE-00568,CMA CGM,VNDNG (Da Nang),USLGB (Long Beach),20DC,2527,140,10,40,2717,2026-07-23,2026-08-07,33
RTE-00569,Maersk,VNDNG (Da Nang),CNSHA (Shanghai),40HC,485,210,10,40,745,2026-07-21,2026-08-05,23
RTE-00570,CMA CGM,VNSGN (Cat Lai),NLRTM (Rotterdam),20DC,2027,140,10,40,2217,2026-07-03,2026-07-18,18
RTE-00571,Hapag-Lloyd,VNDNG (Da Nang),NLRTM (Rotterdam),40HC,2936,210,10,40,3196,2026-07-26,2026-08-10,27
RTE-00572,MSC,VNSGN (Cat Lai),USLGB (Long Beach),20DC,2163,140,10,40,2353,2026-07-02,2026-07-17,27
RTE-00573,COSCO,VNSGN (Cat Lai),CNSHA (Shanghai),40HC,628,210,10,40,888,2026-07-11,2026-07-26,21
RTE-00574,CMA CGM,VNDNG (Da Nang),NLRTM (Rotterdam),20DC,2120,140,10,40,2310,2026-07-27,2026-08-11,30
RTE-00575,Maersk,VNDNG (Da Nang),NLRTM (Rotterdam),40HC,2475,210,10,40,2735,2026-07-26,2026-08-10,34
RTE-00576,MSC,VNHPH (Hai Phong),NLRTM (Rotterdam),40HC,3056,210,10,40,3316,2026-07-08,2026-07-23,32
RTE-00577,Evergreen,VNHPH (Hai Phong),USLAX (Los Angeles),20DC,2513,140,10,40,2703,2026-07-01,2026-07-16,34
RTE-00578,MSC,VNSGN (Cat Lai),DEHAM (Hamburg),20DC,1668,140,10,40,1858,2026-07-23,2026-08-07,35
RTE-00579,Hapag-Lloyd,VNHPH (Hai Phong),USLGB (Long Beach),40HC,2995,210,10,40,3255,2026-07-16,2026-07-31,13
RTE-00580,Hapag-Lloyd,VNHPH (Hai Phong),USLAX (Los Angeles),20DC,2178,140,10,40,2368,2026-07-18,2026-08-02,28
RTE-00581,Evergreen,VNHPH (Hai Phong),DEHAM (Hamburg),40HC,3010,210,10,40,3270,2026-07-24,2026-08-08,21
RTE-00582,CMA CGM,VNSGN (Cat Lai),USLAX (Los Angeles),40HC,2866,210,10,40,3126,2026-07-22,2026-08-06,24
RTE-00583,CMA CGM,VNHPH (Hai Phong),DEHAM (Hamburg),20DC,1570,140,10,40,1760,2026-07-23,2026-08-07,14
RTE-00584,Evergreen,VNSGN (Cat Lai),USLAX (Los Angeles),40HC,3079,210,10,40,3339,2026-07-18,2026-08-02,29
RTE-00585,Hapag-Lloyd,VNDNG (Da Nang),USLGB (Long Beach),40HC,3364,210,10,40,3624,2026-07-31,2026-08-15,16
RTE-00586,Evergreen,VNDNG (Da Nang),NLRTM (Rotterdam),40HC,2953,210,10,40,3213,2026-07-22,2026-08-06,16
RTE-00587,CMA CGM,VNSGN (Cat Lai),DEHAM (Hamburg),40HC,2855,210,10,40,3115,2026-07-05,2026-07-20,24
RTE-00588,COSCO,VNDNG (Da Nang),USLGB (Long Beach),40HC,3876,210,10,40,4136,2026-07-25,2026-08-09,28
RTE-00589,ONE,VNHPH (Hai Phong),NLRTM (Rotterdam),20DC,1915,140,10,40,2105,2026-07-18,2026-08-02,18
RTE-00590,Maersk,VNHPH (Hai Phong),CNSHA (Shanghai),20DC,346,140,10,40,536,2026-07-22,2026-08-06,20
RTE-00591,Evergreen,VNDNG (Da Nang),CNSHA (Shanghai),40HC,495,210,10,40,755,2026-07-16,2026-07-31,35
RTE-00592,COSCO,VNDNG (Da Nang),USLGB (Long Beach),40HC,3120,210,10,40,3380,2026-07-20,2026-08-04,25
RTE-00593,MSC,VNHPH (Hai Phong),CNSHA (Shanghai),40HC,793,210,10,40,1053,2026-07-24,2026-08-08,16
RTE-00594,MSC,VNSGN (Cat Lai),NLRTM (Rotterdam),20DC,1944,140,10,40,2134,2026-07-03,2026-07-18,27
RTE-00595,Hapag-Lloyd,VNHPH (Hai Phong),USLGB (Long Beach),40HC,3867,210,10,40,4127,2026-07-11,2026-07-26,19
RTE-00596,ONE,VNSGN (Cat Lai),USLAX (Los Angeles),20DC,2669,140,10,40,2859,2026-07-13,2026-07-28,22
RTE-00597,ONE,VNHPH (Hai Phong),NLRTM (Rotterdam),20DC,1500,140,10,40,1690,2026-07-18,2026-08-02,18
RTE-00598,MSC,VNSGN (Cat Lai),DEHAM (Hamburg),20DC,1886,140,10,40,2076,2026-07-24,2026-08-08,15
